"mmu:110119           Mpi, 1110002E17Rik, AI315153, Mpi-1, Mpi1; mannose phosphate isomerase (EC:5.3.1.8); K01809 mannose- "
"mmu:11674            Aldoa, Aldo-1, Aldo1; aldolase A, fructose-bisphosphate (EC:4.1.2.13); K01623 fructose-bisphosphate  "
"mmu:11676            Aldoc, AI847350, AU040929, Aldo3, Scrg2; aldolase C, fructose-bisphosphate (EC:4.1.2.13); K01623 fru "
"mmu:11677            Akr1b3, ALR2, AR, Ahr-1, Ahr1, Akr1b1, Aldor1, Aldr1; aldo-keto reductase family 1, member B3 (aldos "
"mmu:11997            Akr1b7, AR, Avdp, MVDP; aldo-keto reductase family 1, member B7 (EC:1.1.1.21); K00011 aldehyde reduc "
"mmu:14120            Fbp2, Fbp-1, Fbp1, Rae-30; fructose bisphosphatase 2 (EC:3.1.3.11); K03841 fructose-1,6-bisphosphata "
"mmu:14121            Fbp1, Fbp-2, Fbp2, Fbp3; fructose bisphosphatase 1 (EC:3.1.3.11); K03841 fructose-1,6-bisphosphatase "
"mmu:14187            Akr1b8, FR-1, Fgfrp, Fgrp; aldo-keto reductase family 1, member B8 (EC:1.1.1.21); K00011 aldehyde re "
"mmu:15275            Hk1, BB404130, Hk-1, Hk1-s, dea, mHk1-s; hexokinase 1 (EC:2.7.1.1); K00844 hexokinase [EC:2.7.1.1] "
"mmu:15277            Hk2, AI642394, HKII; hexokinase 2 (EC:2.7.1.1); K00844 hexokinase [EC:2.7.1.1] "
mmu:16548            Khk; ketohexokinase (EC:2.7.1.3); K00846 ketohexokinase [EC:2.7.1.3] 
"mmu:170768           Pfkfb3, E330010H22Rik, iPFK-2, uPFK-2; 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3; K01103 "
"mmu:18639            Pfkfb1, PFK/FBPase_1; 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 (EC:2.7.1.105 3.1.3.46); "
"mmu:18640            Pfkfb2, 4930568D07Rik; 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (EC:2.7.1.105 3.1.3.46) "
"mmu:18641            Pfkl, AA407869, ATP-PFK, PFK-L; phosphofructokinase, liver, B-type (EC:2.7.1.11); K00850 6-phosphofr "
"mmu:18642            Pfkm, AI131669, ATP-PFK, PFK-A, PFK-M, Pfk-4, Pfk4, Pfka, Pfkx; phosphofructokinase, muscle (EC:2.7. "
"mmu:20322            Sord, Sdh-1, Sdh1, Sodh-1; sorbitol dehydrogenase (EC:1.1.1.14); K00008 L-iditol 2-dehydrogenase [EC "
"mmu:212032           Hk3, HK_III, HK-III; hexokinase 3 (EC:2.7.1.1); K00844 hexokinase [EC:2.7.1.1] "
"mmu:216019           Hkdc1, BC016235; hexokinase domain containing 1 (EC:2.7.1.1); K00844 hexokinase [EC:2.7.1.1] "
"mmu:218138           Gmds, BC031788, C87208; GDP-mannose 4, 6-dehydratase (EC:4.2.1.47); K01711 GDPmannose 4,6-dehydratas "
"mmu:21991            Tpi1, AI255506, Tpi, Tpi-1; triosephosphate isomerase 1 (EC:5.3.1.1); K01803 triosephosphate isomera "
"mmu:22122            Tsta3, AI256181, FX, Tstap35b; tissue specific transplantation antigen P35B (EC:1.1.1.271); K02377 G "
"mmu:230163           Aldob, Aldo-2, Aldo2, BC016435; aldolase B, fructose-bisphosphate (EC:4.1.2.13); K01623 fructose-bis "
"mmu:234730           Fuk, 1110046B12Rik, AI303278; fucokinase (EC:2.7.1.52); K05305 fucokinase [EC:2.7.1.52] "
"mmu:270198           Pfkfb4, C230090D14; 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 (EC:2.7.1.105 3.1.3.46); K "
"mmu:29858            Pmm1, C77612; phosphomannomutase 1 (EC:5.4.2.8); K17497 phosphomannomutase [EC:5.4.2.8] "
"mmu:319801           9630033F20Rik, AA793651, AI595337, C79710, C85509, Tigar; RIKEN cDNA 9630033F20 gene (EC:3.1.3.46);  "
"mmu:331026           Gmppb, AI317178, E430010H19; GDP-mannose pyrophosphorylase B (EC:2.7.7.13); K00966 mannose-1-phospha "
"mmu:353204           Aldoart1, 4921524E03Rik, Aldo1-ps, Aldo1-ps2, Aldoa-ps2; aldolase 1 A, retrogene 1 (EC:4.1.2.13); K0 "
"mmu:54128            Pmm2, AI585868, C86848; phosphomannomutase 2 (EC:5.4.2.8); K17497 phosphomannomutase [EC:5.4.2.8] "
"mmu:56421            Pfkp, 1200015H23Rik, 9330125N24Rik, ATP-PFK, PFK-C, PFK-P; phosphofructokinase, platelet (EC:2.7.1.1 "
"mmu:67861            Akr1b10, 2310005E10Rik, Akr1b16; aldo-keto reductase family 1, member B10 (aldose reductase) (EC:1.1 "
"mmu:69080            Gmppa, 1810012N01Rik; GDP-mannose pyrophosphorylase A (EC:2.7.7.13); K00966 mannose-1-phosphate guan "
"mmu:75454            Phpt1, 1700008C22Rik, Php14; phosphohistidine phosphatase 1; K01112 [EC:3.1.3.-] "
"mmu:75540            Fpgt, 1700016E03Rik; fucose-1-phosphate guanylyltransferase (EC:2.7.7.30); K00976 fucose-1-phosphate "
