"mmu:100042025        Gm20899; predicted gene, 20899; K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] "
"mmu:103988           Gck, GLK, Gk, Gls006, HK4, HKIV, HXKP, Hlb62, MODY2; glucokinase (EC:2.7.1.2); K12407 glucokinase [E "
"mmu:106557           Ldhal6b, 4933402O15Rik, AI326310, LDHL, Ldhal; lactate dehydrogenase A-like 6B (EC:1.1.1.27); K00016 "
"mmu:110695           Aldh7a1, Atq1, D18Wsu181e; aldehyde dehydrogenase family 7, member A1 (EC:1.2.1.3 1.2.1.8 1.2.1.31); "
"mmu:11522            Adh1, ADH-AA, AI194826, Adh-1, Adh-1-t, Adh-1e, Adh-1t, Adh-3e, Adh1-e, Adh1-t, Adh1tl, Adh3-e; alco "
"mmu:11529            Adh7, AI325182, Adh-3, Adh-3e, Adh-3t, Adh3, Adh3-e, Adh3-t, Adh4, Adt-1; alcohol dehydrogenase 7 (c "
"mmu:11532            Adh5, Adh-5, Adh3, GSNOR; alcohol dehydrogenase 5 (class III), chi polypeptide (EC:1.1.1.1 1.1.1.284 "
"mmu:11669            Aldh2, Ahd-5, Ahd5; aldehyde dehydrogenase 2, mitochondrial (EC:1.2.1.3); K00128 aldehyde dehydrogen "
"mmu:11670            Aldh3a1, Ahd-4, Ahd4, Aldh, Aldh3; aldehyde dehydrogenase family 3, subfamily A1 (EC:1.2.1.5); K0012 "
"mmu:11671            Aldh3a2, AI194803, Ahd-3, Ahd-3r, Ahd3, Ahd3-r, Aldh4, Aldh4-r, FALDH; aldehyde dehydrogenase family "
"mmu:11674            Aldoa, Aldo-1, Aldo1; aldolase A, fructose-bisphosphate (EC:4.1.2.13); K01623 fructose-bisphosphate  "
"mmu:11676            Aldoc, AI847350, AU040929, Aldo3, Scrg2; aldolase C, fructose-bisphosphate (EC:4.1.2.13); K01623 fru "
"mmu:12183            Bpgm, AI323730, AL022789, C86192; 2,3-bisphosphoglycerate mutase (EC:3.1.3.13 5.4.2.4 5.4.2.11); K01 "
mmu:13382            Dld; dihydrolipoamide dehydrogenase (EC:1.8.1.4); K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4] 
"mmu:13806            Eno1, 0610008I15, AL022784, Eno-1, MBP-1; enolase 1, alpha non-neuron (EC:4.2.1.11); K01689 enolase  "
"mmu:13807            Eno2, AI837106, D6Ertd375e, Eno-2, NSE; enolase 2, gamma neuronal (EC:4.2.1.11); K01689 enolase [EC: "
"mmu:13808            Eno3, Eno-3, MSE; enolase 3, beta muscle (EC:4.2.1.11); K01689 enolase [EC:4.2.1.11] "
"mmu:14120            Fbp2, Fbp-1, Fbp1, Rae-30; fructose bisphosphatase 2 (EC:3.1.3.11); K03841 fructose-1,6-bisphosphata "
"mmu:14121            Fbp1, Fbp-2, Fbp2, Fbp3; fructose bisphosphatase 1 (EC:3.1.3.11); K03841 fructose-1,6-bisphosphatase "
"mmu:14377            G6pc, AW107337, G6Pase, G6pt, Glc-6-Pase; glucose-6-phosphatase, catalytic (EC:3.1.3.9); K01084 gluc "
"mmu:14378            G6pc2, G6pc-rs, IGRP; glucose-6-phosphatase, catalytic, 2 (EC:3.1.3.9); K01084 glucose-6-phosphatase "
"mmu:14433            Gapdh, Gapd; glyceraldehyde-3-phosphate dehydrogenase (EC:1.2.1.12); K00134 glyceraldehyde 3-phospha "
"mmu:14447            Gapdhs, Gapd-s, Gapds; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic (EC:1.2.1.12); K10705 "
"mmu:14751            Gpi1, Amf, Gpi, Gpi-1, Gpi-1r, Gpi-1s, Gpi-1t, Gpi1-r, Gpi1-s, Gpi1-t, Gpi1s, MF, NK, NK/GPI, Nlk, O "
"mmu:15275            Hk1, BB404130, Hk-1, Hk1-s, dea, mHk1-s; hexokinase 1 (EC:2.7.1.1); K00844 hexokinase [EC:2.7.1.1] "
"mmu:15277            Hk2, AI642394, HKII; hexokinase 2 (EC:2.7.1.1); K00844 hexokinase [EC:2.7.1.1] "
"mmu:16828            Ldha, Ldh1, Ldhm, l7R2; lactate dehydrogenase A (EC:1.1.1.27); K00016 L-lactate dehydrogenase [EC:1. "
"mmu:16832            Ldhb, AI790582, H-Ldh, LDH-B, LDH-H, Ldh-2, Ldh2; lactate dehydrogenase B (EC:1.1.1.27); K00016 L-la "
"mmu:16833            Ldhc, LDH-C4, Ldh-3, Ldh-x, Ldh3, Ldhc4; lactate dehydrogenase C (EC:1.1.1.27); K00016 L-lactate deh "
"mmu:17330            Minpp1, AA408516; multiple inositol polyphosphate histidine phosphatase 1 (EC:3.1.3.62 3.1.3.80); K0 "
"mmu:18534            Pck1, AI265463, PEPCK, Pck-1; phosphoenolpyruvate carboxykinase 1, cytosolic (EC:4.1.1.32); K01596 p "
"mmu:18597            Pdha1, Pdha-1; pyruvate dehydrogenase E1 alpha 1 (EC:1.2.4.1); K00161 pyruvate dehydrogenase E1 comp "
"mmu:18598            Pdha2, Pdhal; pyruvate dehydrogenase E1 alpha 2 (EC:1.2.4.1); K00161 pyruvate dehydrogenase E1 compo "
"mmu:18641            Pfkl, AA407869, ATP-PFK, PFK-L; phosphofructokinase, liver, B-type (EC:2.7.1.11); K00850 6-phosphofr "
"mmu:18642            Pfkm, AI131669, ATP-PFK, PFK-A, PFK-M, Pfk-4, Pfk4, Pfka, Pfkx; phosphofructokinase, muscle (EC:2.7. "
"mmu:18648            Pgam1, 2310050F24Rik, Pgam-1; phosphoglycerate mutase 1 (EC:3.1.3.13 5.4.2.4 5.4.2.11); K01834 2,3-b "
"mmu:18655            Pgk1, Pgk-1; phosphoglycerate kinase 1 (EC:2.7.2.3); K00927 phosphoglycerate kinase [EC:2.7.2.3] "
"mmu:18663            Pgk2, Pgk-2, Tcp-2; phosphoglycerate kinase 2 (EC:2.7.2.3); K00927 phosphoglycerate kinase [EC:2.7.2 "
"mmu:18746            Pkm, AA414905, AL024370, AL024424, Pk-2, Pk-3, Pk3, Pkm2; pyruvate kinase, muscle (EC:2.7.1.40); K00 "
"mmu:18770            Pklr, Pk-1, Pk1, R-PK; pyruvate kinase liver and red blood cell (EC:2.7.1.40); K12406 pyruvate kinas "
"mmu:212032           Hk3, HK_III, HK-III; hexokinase 3 (EC:2.7.1.1); K00844 hexokinase [EC:2.7.1.1] "
"mmu:216019           Hkdc1, BC016235; hexokinase domain containing 1 (EC:2.7.1.1); K00844 hexokinase [EC:2.7.1.1] "
"mmu:21991            Tpi1, AI255506, Tpi, Tpi-1; triosephosphate isomerase 1 (EC:5.3.1.1); K01803 triosephosphate isomera "
"mmu:230163           Aldob, Aldo-2, Aldo2, BC016435; aldolase B, fructose-bisphosphate (EC:4.1.2.13); K01623 fructose-bis "
"mmu:235339           Dlat, 6332404G05Rik, DLTA, PDC-E2; dihydrolipoamide S-acetyltransferase (E2 component of pyruvate de "
"mmu:26876            Adh4, Adh2; alcohol dehydrogenase 4 (class II), pi polypeptide (EC:1.1.1.1); K13980 alcohol dehydrog "
"mmu:319625           Galm, A530057M15Rik, AU015645, AU020959; galactose mutarotase (EC:5.1.3.3); K01785 aldose 1-epimeras "
"mmu:353204           Aldoart1, 4921524E03Rik, Aldo1-ps, Aldo1-ps2, Aldoa-ps2; aldolase 1 A, retrogene 1 (EC:4.1.2.13); K0 "
"mmu:433182           Eno1b, EG433182, Eno1, Gm5506; enolase 1B, retrotransposed; K01689 enolase [EC:4.2.1.11] "
"mmu:56012            Pgam2; phosphoglycerate mutase 2 (EC:3.1.3.13 5.4.2.4 5.4.2.11); K01834 2,3-bisphosphoglycerate-depe "
"mmu:56421            Pfkp, 1200015H23Rik, 9330125N24Rik, ATP-PFK, PFK-C, PFK-P; phosphofructokinase, platelet (EC:2.7.1.1 "
"mmu:56752            Aldh9a1, AA139417, Abaldh, ESTM40, TMABA-DH, Tmabadh; aldehyde dehydrogenase 9, subfamily A1 (EC:1.2 "
"mmu:56847            Aldh1a3, ALDH6, RALDH3, V1; aldehyde dehydrogenase family 1, subfamily A3 (EC:1.2.1.5); K00129 aldeh "
"mmu:58810            Akr1a1, 2610201A18Rik, Akr1a4; aldo-keto reductase family 1, member A1 (aldehyde reductase) (EC:1.1. "
"mmu:60525            Acss2, 1110017C11Rik, ACAS, Acas1, Acas2, AceCS1, Acs1; acyl-CoA synthetase short-chain family membe "
"mmu:621603           Aldh3b2, AI848594, C130048D07Rik; aldehyde dehydrogenase 3 family, member B2; K00129 aldehyde dehydr "
"mmu:66681            Pgm1, 3230402E02Rik, Pgm-1, Pgm2; phosphoglucomutase 1 (EC:5.4.2.2 5.4.2.7); K15779 phosphoglucomuta "
"mmu:67689            Aldh3b1, 1700001N19Rik, ALDH4, ALDH7; aldehyde dehydrogenase 3 family, member B1 (EC:1.2.1.5); K0012 "
"mmu:68263            Pdhb, 2610103L06Rik, AL024199, C81408; pyruvate dehydrogenase (lipoamide) beta (EC:1.2.4.1); K00162  "
